ID	Obj. Type	PR95 ID	CFT01 ID	R.A.	Decl.	Dist.	RV	sigma_RV	
				(hr)	(deg)	(")	(km s^-1)	(km s^-1)	
36	gx	 ... 	-	09 54 06.64	69 06 20.90	8.09	112001	28	
143	hii	 ... 	-	09 54 34.65	69 05 54.56	5.59	85	10	
159	oc	50618	 ... 	09 54 36.76	69 04 46.96	5.11	76	59	
164	hii	50774	 ... 	09 54 37.67	69 06 36.90	5.64	103	14	
185	hii	50649	 ... 	09 54 39.63	69 05 07.22	4.93	71	11	
215	hii	50485	 ... 	09 54 42.47	69 03 38.25	4.54	32	10	
269	hii	50574	 ... 	09 54 46.63	69 04 22.32	4.18	33	9	
283	hii	 ... 	-	09 54 47.58	69 03 23.27	4.11	13	10	
287	hii	 ... 	-	09 54 47.72	69 03 22.52	4.10	5	14	
301	hii	50729	 ... 	09 54 48.53	69 05 59.46	4.49	114	12	
329	hii	50840	 ... 	09 54 49.30	69 07 18.78	5.18	139	12	
357	hii	 ... 	-	09 54 50.98	69 02 50.89	3.92	-20	10	
371	hii	 ... 	-	09 54 51.60	69 06 35.39	4.57	106	12	
395	hii	50997	 ... 	09 54 52.97	69 08 50.38	6.08	173	13	
406	hii	50883	 ... 	09 54 53.42	69 07 38.63	5.14	154	13	
469	hii	50996	 ... 	09 54 56.85	69 08 49.26	5.87	165	11	
540	hii	50183	 ... 	09 55 00.69	68 59 22.77	5.39	-103	15	
611	hii	51117	 ... 	09 55 03.45	69 10 54.07	7.47	168	11	
629	hii	50659	41	09 55 04.43	69 09 56.14	6.54	139	24	
668	gx	51043	32	09 55 06.65	69 09 20.11	5.91	81798	51	
802	gx	50331	 ... 	09 55 12.75	69 01 41.81	2.88	69171	16	
811	gx	 ... 	103	09 55 13.25	69 01 34.41	2.95	61522	23	
889	hii	51060	 ... 	09 55 16.17	69 09 35.11	5.87	168	21	
898	hii	51003	 ... 	09 55 16.52	69 08 55.17	5.22	165	11	
944	hii	50975	 ... 	09 55 18.40	69 08 28.75	4.75	139	11	
956	hii	 ... 	-	09 55 18.92	69 10 05.76	6.31	156	14	
